m 2.4496188160421712, b 1.3767334102049598, cost 0.4796475181822244 iteration 9940
m 2.4496036146007554, b 1.3767882922332935, cost 0.47961508532886854 iteration 9941
m 2.4495884136732937, b 1.3768431724060863, cost 0.47958265466856037 iteration 9942
m 2.449573213259769, b 1.3768980507234012, cost 0.4795502262011522 iteration 9943
m 2.4495580133601633, b 1.3769529271853007, cost 0.47951779992649474 iteration 9944
m 2.44954281397446, b 1.3770078017918475, cost 0.4794853758444413 iteration 9945
m 2.449527615102641, b 1.3770626745431045, cost 0.4794529539548423 iteration 9946
m 2.4495124167446893, b 1.3771175454391342, cost 0.47942053425754916 iteration 9947
m 2.4494972189005875, b 1.3771724144799995, cost 0.4793881167524148 iteration 9948
m 2.449482021570318, b 1.3772272816657631, cost 0.47935570143929057 iteration 9949
m 2.449466824753864, b 1.3772821469964878, cost 0.4793232883180283 iteration 9950
m 2.449451628451208, b 1.3773370104722362, cost 0.47929087738847964 iteration 9951
m 2.4494364326623317, b 1.3773918720930711, cost 0.4792584686504962 iteration 9952
m 2.449421237387219, b 1.377446731859055, cost 0.4792260621039298 iteration 9953
m 2.4494060426258515, b 1.377501589770251, cost 0.4791936577486329 iteration 9954
m 2.4493908483782123, b 1.3775564458267213, cost 0.47916125558445677 iteration 9955
m 2.4493756546442844, b 1.377611300028529, cost 0.4791288556112532 iteration 9956
m 2.44936046142405, b 1.3776661523757368, cost 0.4790964578288753 iteration 9957
m 2.449345268717492, b 1.3777210028684073, cost 0.4790640622371723 iteration 9958
m 2.4493300765245922, b 1.377775851506603, cost 0.47903166883599857 iteration 9959
m 2.449314884845334, b 1.377830698290387, cost 0.478999277625205 iteration 9960
m 2.4492996936797002, b 1.3778855432198216, cost 0.4789668886046432 iteration 9961
m 2.449284503027673, b 1.3779403862949697, cost 0.47893450177416536 iteration 9962
m 2.449269312889235, b 1.3779952275158942, cost 0.47890211713362385 iteration 9963
m 2.449254123264369, b 1.3780500668826574, cost 0.47886973468286986 iteration 9964
m 2.449238934153058, b 1.3781049043953222, cost 0.4788373544217553 iteration 9965
m 2.449223745555284, b 1.3781597400539514, cost 0.47880497635013297 iteration 9966
m 2.4492085574710303, b 1.3782145738586074, cost 0.4787726004678534 iteration 9967
m 2.449193369900279, b 1.378269405809353, cost 0.4787402267747707 iteration 9968
m 2.4491781828430126, b 1.3783242359062509, cost 0.4787078552707352 iteration 9969
m 2.449162996299214, b 1.3783790641493638, cost 0.47867548595559906 iteration 9970
m 2.449147810268866, b 1.3784338905387545, cost 0.47864311882921506 iteration 9971
m 2.4491326247519516, b 1.3784887150744856, cost 0.4786107538914335 iteration 9972
m 2.4491174397484525, b 1.3785435377566195, cost 0.4785783911421085 iteration 9973
m 2.449102255258352, b 1.378598358585219, cost 0.47854603058109035 iteration 9974
m 2.4490870712816326, b 1.378653177560347, cost 0.47851367220823243 iteration 9975
m 2.4490718878182767, b 1.378707994682066, cost 0.47848131602338545 iteration 9976
m 2.4490567048682674, b 1.3787628099504385, cost 0.4784489620264033 iteration 9977
m 2.449041522431587, b 1.3788176233655276, cost 0.4784166102171361 iteration 9978
m 2.4490263405082184, b 1.3788724349273955, cost 0.47838426059543643 iteration 9979
m 2.449011159098144, b 1.3789272446361052, cost 0.4783519131611573 iteration 9980
m 2.4489959782013466, b 1.3789820524917191, cost 0.4783195679141504 iteration 9981
m 2.4489807978178084, b 1.3790368584943, cost 0.47828722485426634 iteration 9982
m 2.4489656179475126, b 1.3790916626439105, cost 0.47825488398136007 iteration 9983
m 2.4489504385904417, b 1.379146464940613, cost 0.4782225452952812 iteration 9984
m 2.4489352597465786, b 1.3792012653844707, cost 0.47819020879588303 iteration 9985
m 2.4489200814159053, b 1.379256063975546, cost 0.4781578744830173 iteration 9986
m 2.448904903598405, b 1.3793108607139013, cost 0.47812554235653704 iteration 9987
m 2.4488897262940603, b 1.3793656555995994, cost 0.4780932124162931 iteration 9988
m 2.4488745495028534, b 1.379420448632703, cost 0.4780608846621385 iteration 9989
m 2.4488593732247677, b 1.3794752398132748, cost 0.47802855909392483 iteration 9990
m 2.448844197459785, b 1.3795300291413772, cost 0.47799623571150446 iteration 9991
m 2.448829022207889, b 1.379584816617073, cost 0.4779639145147302 iteration 9992
m 2.448813847469061, b 1.379639602240425, cost 0.477931595503454 iteration 9993
m 2.4487986732432847, b 1.3796943860114954, cost 0.477899278677528 iteration 9994
m 2.4487834995305424, b 1.379749167930347, cost 0.47786696403680395 iteration 9995
m 2.448768326330817, b 1.3798039479970428, cost 0.4778346515811344 iteration 9996
m 2.4487531536440907, b 1.3798587262116448, cost 0.47780234131037247 iteration 9997
m 2.4487379814703467, b 1.379913502574216, cost 0.4777700332243683 iteration 9998
m 2.4487228098095675, b 1.379968277084819, cost 0.4777377273229759 iteration 9999

Process finished with exit code 0
